                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2032,                 1.2819,                 2.2306,                 0.8265,                0.80959,                0.89226,                0.88947,                 0.6208,                0.77809,                0.85532,                0.83346,                0.35851,                 1.0258,                 1.2079,                0.91758,                0.82603,             0.00025551,             0.00025551,             0.00025551
                      1,                 0.9477,                0.95323,                0.86976,                0.80349,                0.94657,                0.95713,                0.98586,                0.71016,                0.92998,                 0.9386,                0.95986,                0.47856,                0.98866,                0.97085,                 0.5903,                0.81747,             0.00050678,             0.00050678,             0.00050678
                      2,                 0.8563,                0.86248,                0.68952,                0.79656,                0.93566,                0.95521,                0.98881,                0.72635,                0.89805,                0.91396,                0.93012,                0.40745,                0.93507,                  1.436,                0.57585,                0.81497,             0.00075297,             0.00075297,             0.00075297
                      3,                0.81828,                0.81776,                0.59253,                0.79287,                0.95707,                0.95868,                 0.9906,                0.73921,                0.92204,                0.92209,                0.93727,                0.42031,                0.90266,                 1.1415,                0.51648,                0.81359,             0.00074616,             0.00074616,             0.00074616
                      4,                0.77362,                0.77166,                0.53013,                0.79012,                0.97553,                0.98004,                0.99341,                0.76565,                 0.9343,                0.93682,                0.93269,                0.40928,                0.83424,                 1.2408,                0.45766,                0.80639,             0.00074616,             0.00074616,             0.00074616
                      5,                0.75841,                0.75628,                0.49351,                0.78919,                0.99025,                0.98697,                0.99385,                0.73285,                0.97147,                0.96732,                0.97212,                0.49546,                0.96525,                0.99473,                0.47061,                0.81141,             0.00073855,             0.00073855,             0.00073855
                      6,                0.73206,                 0.7348,                 0.4606,                 0.7863,                0.98087,                0.98645,                 0.9938,                 0.7542,                0.95815,                0.95159,                0.95647,                0.45595,                0.87319,                 1.0601,                0.43463,                0.80713,             0.00073093,             0.00073093,             0.00073093
                      7,                0.72298,                0.71737,                0.44457,                0.78511,                0.98605,                0.98795,                0.99413,                0.77192,                0.94863,                0.93976,                0.93656,                0.43029,                0.85678,                  1.333,                0.42963,                0.80579,             0.00072332,             0.00072332,             0.00072332
                      8,                0.71015,                0.70254,                 0.4281,                0.78536,                0.98746,                0.98393,                0.99458,                 0.7756,                0.95985,                 0.9557,                0.95723,                0.46254,                0.83141,                 1.1017,                0.41762,                0.80474,             0.00071571,             0.00071571,             0.00071571
                      9,                0.70354,                0.70467,                0.42047,                0.78494,                0.96324,                0.97871,                0.99374,                 0.7742,                0.93116,                0.94233,                0.94527,                0.44043,                0.82771,                 1.2646,                0.43247,                0.80309,              0.0007081,              0.0007081,              0.0007081
                     10,                0.68739,                0.69489,                0.41326,                0.78314,                0.93695,                0.96941,                0.99239,                0.77853,                0.91321,                0.94532,                0.96324,                0.47465,                0.82628,                  1.062,                0.49134,                0.80165,             0.00070048,             0.00070048,             0.00070048
                     11,                0.68305,                0.67851,                0.39995,                 0.7832,                0.98974,                0.98865,                 0.9947,                 0.7855,                0.95979,                0.95605,                0.95661,                0.46385,                    0.8,                 1.0921,                0.39042,                0.80278,             0.00069287,             0.00069287,             0.00069287
                     12,                 0.6743,                0.66967,                0.39396,                0.78228,                0.99222,                0.98698,                0.99476,                0.77711,                0.96926,                0.96099,                0.96141,                0.47554,                0.81899,                 1.1939,                0.39984,                0.80497,             0.00068526,             0.00068526,             0.00068526
                     13,                0.66455,                0.66457,                0.38608,                0.78208,                0.97739,                0.98051,                0.99447,                0.78481,                0.95021,                 0.9534,                0.96019,                0.46099,                0.81841,                 1.1229,                0.41192,                0.80317,             0.00067764,             0.00067764,             0.00067764
                     14,                0.65804,                0.65253,                0.38151,                0.78086,                0.98739,                0.98611,                0.99472,                0.78214,                0.95724,                0.95571,                0.95817,                0.46184,                0.82251,                 1.0573,                0.39124,                 0.8032,             0.00067003,             0.00067003,             0.00067003
                     15,                0.65608,                0.65388,                0.37924,                0.78125,                 0.9951,                0.99284,                0.99489,                0.79699,                0.96618,                0.96591,                0.95897,                0.48311,                0.78654,                  1.156,                0.37105,                0.80181,             0.00066242,             0.00066242,             0.00066242
                     16,                0.65086,                0.64694,                0.37459,                0.78126,                0.99297,                0.99104,                0.99489,                0.77733,                0.96603,                0.96236,                0.96383,                0.48408,                0.85415,                   1.09,                0.38881,                0.80549,              0.0006548,              0.0006548,              0.0006548
                     17,                0.64558,                0.64571,                0.37218,                0.78109,                0.98965,                0.99043,                0.99485,                0.78506,                0.96303,                0.96367,                0.96273,                0.48803,                0.81751,                 1.0761,                0.37599,                 0.8017,             0.00064719,             0.00064719,             0.00064719
                     18,                 0.6405,                0.64077,                0.36518,                0.78006,                0.98669,                0.98529,                0.99479,                0.78704,                0.95711,                0.95507,                 0.9588,                0.47728,                0.81644,                 1.1728,                0.38184,                0.80228,             0.00063958,             0.00063958,             0.00063958
                     19,                0.63325,                0.63516,                0.36092,                0.77983,                0.99418,                0.99315,                 0.9948,                0.80677,                0.96766,                0.96534,                0.96337,                0.49359,                0.76868,                 1.1057,                0.36137,                0.80008,             0.00063196,             0.00063196,             0.00063196
                     20,                0.62707,                0.62758,                0.35412,                 0.7797,                0.99277,                0.99404,                0.99483,                0.79471,                0.95913,                 0.9583,                0.95207,                0.46609,                0.77852,                 1.2153,                0.37119,                0.80059,             0.00062435,             0.00062435,             0.00062435
                     21,                0.62982,                0.63009,                0.35653,                0.77884,                0.99648,                0.99591,                0.99494,                0.79949,                0.97124,                0.97052,                0.96395,                0.48783,                0.76197,                 1.1808,                  0.356,                0.79934,             0.00061674,             0.00061674,             0.00061674
                     22,                0.62566,                0.62532,                0.35244,                0.77845,                0.99812,                0.99398,                0.99495,                0.78972,                0.97057,                0.96601,                0.96161,                0.47581,                0.79328,                  1.173,                0.35902,                0.80156,             0.00060912,             0.00060912,             0.00060912
                     23,                0.61816,                0.62072,                0.35035,                0.77831,                0.99321,                 0.9909,                0.99496,                0.79886,                0.96612,                0.96385,                0.96389,                0.48257,                 0.7824,                 1.0876,                0.36652,                0.79934,             0.00060151,             0.00060151,             0.00060151
                     24,                0.62057,                0.61776,                0.35199,                0.77836,                0.99244,                  0.991,                0.99494,                0.78072,                 0.9602,                0.95495,                0.95018,                0.45259,                0.83265,                 1.2981,                0.37114,                 0.8025,              0.0005939,              0.0005939,              0.0005939
                     25,                0.61136,                0.61335,                0.34759,                0.77799,                0.98455,                0.98494,                 0.9947,                0.78619,                0.95419,                0.95208,                0.95426,                 0.4631,                0.81264,                 1.2282,                0.38824,                0.80006,             0.00058629,             0.00058629,             0.00058629
                     26,                0.60707,                0.60926,                 0.3469,                0.77751,                0.99091,                0.99163,                 0.9948,                0.79469,                0.96152,                0.96184,                0.96272,                0.47734,                 0.8095,                 1.2501,                0.37243,                0.79999,             0.00057867,             0.00057867,             0.00057867
                     27,                0.60615,                0.60061,                0.34622,                0.77659,                0.99544,                0.99337,                0.99496,                0.78465,                0.97094,                0.96589,                0.96619,                0.48412,                0.82751,                   1.16,                0.36991,                0.80072,             0.00057106,             0.00057106,             0.00057106
                     28,                0.60934,                0.60567,                0.34375,                 0.7763,                0.99422,                0.98878,                0.99492,                0.80433,                0.96531,                0.95985,                0.96152,                0.47336,                0.77497,                 1.1809,                0.35978,                0.79793,             0.00056345,             0.00056345,             0.00056345
                     29,                 0.6048,                0.60398,                0.33908,                0.77719,                0.99521,                0.99359,                0.99497,                0.78578,                 0.9632,                0.96132,                0.95592,                0.47587,                0.82578,                  1.276,                0.36192,                0.80055,             0.00055583,             0.00055583,             0.00055583
                     30,                0.59967,                0.60234,                0.33876,                0.77598,                0.99515,                0.99568,                0.99498,                 0.7971,                0.96959,                0.96948,                0.96607,                0.49232,                0.78981,                 1.1358,                0.36166,                0.79818,             0.00054822,             0.00054822,             0.00054822
                     31,                0.59414,                0.60031,                0.33733,                0.77527,                0.99827,                0.99617,                0.99498,                0.80026,                0.96977,                0.96712,                0.96335,                0.49257,                0.79368,                 1.1646,                0.35105,                0.79966,             0.00054061,             0.00054061,             0.00054061
                     32,                0.59717,                0.59191,                0.33601,                0.77581,                0.99572,                0.99524,                0.99497,                0.78958,                0.96906,                0.96763,                 0.9641,                0.49325,                0.80987,                 1.1919,                0.36159,                0.79932,             0.00053299,             0.00053299,             0.00053299
                     33,                0.58792,                0.58916,                0.33246,                0.77502,                0.99052,                0.99074,                0.99496,                0.79663,                0.96576,                  0.964,                0.96739,                0.50122,                0.80851,                 1.0967,                0.36249,                0.79838,             0.00052538,             0.00052538,             0.00052538
                     34,                0.59465,                0.58911,                0.33166,                0.77576,                0.99673,                0.99616,                0.99499,                0.80013,                0.96729,                0.96248,                0.95978,                0.48292,                0.79026,                 1.2775,                0.34458,                0.79914,             0.00051777,             0.00051777,             0.00051777
                     35,                0.58706,                0.58868,                0.32852,                0.77453,                0.99589,                0.99731,                0.99499,                0.80866,                0.96913,                0.96868,                0.96495,                0.49635,                0.77144,                 1.2121,                0.34351,                0.79751,             0.00051015,             0.00051015,             0.00051015
                     36,                 0.5847,                0.58409,                0.32951,                0.77428,                0.99054,                0.99176,                0.99494,                0.80035,                0.96238,                0.96169,                0.96077,                0.48507,                0.77998,                 1.2119,                0.35151,                0.79733,             0.00050254,             0.00050254,             0.00050254
                     37,                0.58218,                0.58003,                0.32564,                0.77459,                0.99378,                0.99456,                0.99498,                0.79691,                0.96529,                0.96011,                 0.9591,                0.47784,                  0.795,                  1.259,                0.35072,                0.79893,             0.00049493,             0.00049493,             0.00049493
